               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.017235,           0.0074641,                   0,             0.85782,             0.89045,             0.94314,             0.80935,            0.018967,           0.0030991,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.017484,           0.0074009,                   0,             0.85621,              0.9073,             0.94189,             0.80623,            0.018994,           0.0030437,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.018271,           0.0078491,                   0,             0.93259,             0.89607,             0.95207,             0.79868,            0.019467,           0.0029605,                   0,            0.005545,            0.005545,            0.005545
                 137,             0.01789,           0.0075204,                   0,             0.94414,             0.85457,             0.95259,             0.79627,            0.018486,           0.0030681,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.017823,           0.0076411,                   0,             0.90438,             0.87671,              0.9353,             0.78812,            0.020289,           0.0031214,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.017478,           0.0072061,                   0,             0.90582,             0.89152,             0.95587,             0.80813,            0.022178,           0.0029518,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.017445,            0.007384,                   0,             0.93533,             0.89372,             0.96555,               0.821,            0.020607,           0.0028487,                   0,            0.005413,            0.005413,            0.005413
                 141,             0.01745,           0.0075457,                   0,             0.86622,             0.90938,             0.92206,             0.77858,            0.018059,             0.00304,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.017292,           0.0077629,                   0,             0.90029,             0.88773,             0.93906,             0.80723,            0.017585,           0.0029767,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.016554,            0.007455,                   0,             0.87374,             0.91365,             0.95533,             0.82541,            0.017781,           0.0027853,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.017248,           0.0075905,                   0,             0.87182,             0.85973,             0.91746,              0.7926,            0.018274,           0.0033272,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.017014,           0.0074664,                   0,             0.91601,             0.86798,             0.93276,             0.80626,            0.018576,           0.0030585,                   0,            0.005248,            0.005248,            0.005248
                 146,              0.0171,           0.0074867,                   0,             0.89878,             0.87296,             0.92621,             0.79339,            0.019736,           0.0032522,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.017062,           0.0072077,                   0,             0.88514,             0.82584,             0.89217,             0.74382,            0.023214,           0.0033599,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.01661,           0.0073557,                   0,             0.88859,             0.82894,              0.8975,             0.75718,            0.021978,           0.0031928,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.017232,           0.0072127,                   0,             0.88037,             0.85955,             0.89869,             0.76435,            0.019134,           0.0033689,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.016703,           0.0074742,                   0,             0.89534,             0.86517,             0.92107,             0.79425,             0.01816,           0.0032335,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.017546,           0.0074586,                   0,             0.89244,             0.90895,             0.92584,             0.80171,            0.017676,           0.0029117,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.016541,           0.0071862,                   0,             0.89532,             0.88889,             0.91991,             0.78713,            0.018318,            0.003035,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.016673,           0.0071217,                   0,             0.92137,              0.8736,             0.92914,             0.78556,            0.019542,           0.0033366,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.016445,            0.007236,                   0,             0.89128,              0.8736,             0.92965,             0.79489,            0.018226,           0.0032067,                   0,            0.004951,            0.004951,            0.004951
                 155,             0.01626,           0.0070762,                   0,             0.89427,             0.89888,             0.93931,             0.80411,            0.015761,            0.002934,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.016223,           0.0071747,                   0,             0.85751,              0.9073,             0.93252,             0.80504,            0.016319,           0.0030289,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.016163,            0.007173,                   0,             0.89771,             0.89326,             0.94858,             0.82213,            0.016384,           0.0030131,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.016214,           0.0071139,                   0,             0.86652,             0.89045,             0.93593,             0.81145,            0.015993,           0.0031947,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.016206,             0.00715,                   0,             0.92032,             0.87605,             0.91211,             0.79749,            0.016385,           0.0032212,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.015927,           0.0068695,                   0,             0.89732,              0.8837,             0.92352,             0.79917,            0.016655,           0.0031504,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.016103,            0.007023,                   0,             0.90488,             0.85508,             0.93099,             0.80339,            0.017315,           0.0030772,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.016617,            0.006982,                   0,             0.86628,             0.87346,             0.91941,             0.79963,            0.014699,           0.0031766,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.016645,           0.0071477,                   0,              0.8873,             0.90677,             0.93062,             0.80927,            0.015318,           0.0030809,                   0,            0.004654,            0.004654,            0.004654
                 164,             0.01608,           0.0069119,                   0,             0.91193,              0.8726,             0.93001,              0.7996,            0.018322,           0.0030835,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.015485,           0.0064879,                   0,             0.90818,             0.89607,              0.9371,             0.81845,            0.015817,           0.0029394,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.015038,           0.0068404,                   0,             0.90456,             0.89888,              0.9291,             0.80291,            0.015102,           0.0029417,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.015979,           0.0067521,                   0,             0.92471,             0.89702,             0.95338,             0.83166,            0.012995,           0.0027835,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.015625,           0.0068852,                   0,             0.90041,             0.91431,             0.95181,             0.83008,            0.015121,           0.0027939,                   0,            0.004489,            0.004489,            0.004489
                 169,             0.01545,           0.0064806,                   0,              0.9267,             0.90169,             0.94935,              0.8313,            0.015357,            0.003054,                   0,            0.004456,            0.004456,            0.004456
