                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                0.52523,                0.46225,                0.96438,                0.92326,                0.87873,                 0.9428,                0.85538,                0.48169,                0.44995,                0.82877,               0.005941,               0.005941,               0.005941
                    125,                0.52608,                0.46226,                0.95632,                0.88867,                0.94177,                0.96298,                0.86561,                0.48354,                0.41811,                0.83091,               0.005908,               0.005908,               0.005908
                    126,                0.51609,                0.46108,                0.95507,                0.92577,                0.91091,                0.95327,                0.87599,                0.45617,                0.40131,                0.81986,               0.005875,               0.005875,               0.005875
                    127,                0.51832,                0.45873,                0.96267,                 0.9231,                0.91037,                0.94698,                0.86137,                 0.4821,                0.43155,                0.83275,               0.005842,               0.005842,               0.005842
                    128,                0.50208,                0.44429,                0.95239,                0.84763,                0.91854,                 0.9212,                0.83724,                0.47978,                0.46427,                0.83361,               0.005809,               0.005809,               0.005809
                    129,                0.49932,                0.44619,                0.94648,                0.89959,                0.93112,                0.95131,                0.85771,                0.47526,                0.42707,                0.82607,               0.005776,               0.005776,               0.005776
                    130,                0.50721,                0.44829,                0.94734,                 0.9245,                0.90449,                0.94917,                0.87426,                0.44803,                0.40519,                0.81697,               0.005743,               0.005743,               0.005743
                    131,                0.50216,                0.45744,                0.95115,                0.88554,                0.90449,                0.94255,                0.86692,                0.45609,                0.43952,                0.81473,                0.00571,                0.00571,                0.00571
                    132,                0.49817,                 0.4323,                0.94633,                 0.8679,                0.94121,                0.94459,                0.85845,                0.47793,                0.43252,                0.82144,               0.005677,               0.005677,               0.005677
                    133,                0.49601,                 0.4485,                0.95192,                0.93043,                0.90164,                0.94795,                0.86262,                0.43839,                0.42429,                 0.8101,               0.005644,               0.005644,               0.005644
                    134,                0.48604,                 0.4344,                 0.9411,                0.88003,                0.91011,                0.94263,                0.86808,                0.44336,                0.42632,                0.82263,               0.005611,               0.005611,               0.005611
                    135,                0.49811,                0.43865,                  0.947,                0.92429,                0.89168,                0.94867,                0.86601,                0.45559,                0.44454,                0.82395,               0.005578,               0.005578,               0.005578
                    136,                0.49223,                 0.4276,                0.95053,                0.90775,                 0.8764,                0.93177,                0.86144,                0.44164,                0.45512,                0.80854,               0.005545,               0.005545,               0.005545
                    137,                0.48796,                 0.4318,                0.93642,                0.90741,                0.89045,                0.92979,                0.85652,                 0.4446,                0.44054,                0.81604,               0.005512,               0.005512,               0.005512
                    138,                0.48922,                0.42519,                0.94182,                0.90555,                0.89326,                0.94274,                0.87261,                0.43857,                0.43776,                0.81666,               0.005479,               0.005479,               0.005479
                    139,                 0.4932,                0.42519,                0.94233,                 0.9203,                0.89888,                0.94521,                0.87093,                 0.4343,                0.42925,                0.81359,               0.005446,               0.005446,               0.005446
                    140,                0.48669,                 0.4261,                0.94277,                0.92203,                0.91011,                0.95143,                0.87533,                0.43805,                0.40095,                0.80677,               0.005413,               0.005413,               0.005413
                    141,                0.48639,                0.41661,                0.93975,                0.91543,                0.92697,                0.93405,                0.86626,                0.43356,                0.41619,                0.80629,                0.00538,                0.00538,                0.00538
                    142,                0.47589,                0.42443,                0.94733,                0.91394,                0.89498,                0.92907,                0.85812,                0.44617,                 0.4167,                0.81476,               0.005347,               0.005347,               0.005347
                    143,                0.48003,                0.40897,                0.93914,                0.92512,                0.90233,                0.95533,                0.88384,                0.44298,                0.39525,                 0.8195,               0.005314,               0.005314,               0.005314
                    144,                 0.4849,                0.40898,                0.94162,                0.94935,                0.89888,                 0.9673,                0.88868,                0.42808,                0.38908,                0.80408,               0.005281,               0.005281,               0.005281
                    145,                0.47496,                0.40434,                0.93684,                0.94216,                0.91854,                0.95023,                0.88293,                0.43817,                0.38779,                 0.8272,               0.005248,               0.005248,               0.005248
                    146,                  0.476,                0.40541,                0.94136,                0.91107,                0.90449,                0.94546,                 0.8759,                0.44092,                0.41033,                 0.8194,               0.005215,               0.005215,               0.005215
                    147,                0.46953,                0.39682,                0.93192,                0.89561,                0.91583,                0.94274,                0.87515,                0.43732,                0.41763,                0.81475,               0.005182,               0.005182,               0.005182
                    148,                0.48193,                0.41586,                0.93997,                 0.9388,                0.92135,                0.94557,                0.87634,                0.43035,                0.37118,                0.81219,               0.005149,               0.005149,               0.005149
                    149,                0.47878,                0.40607,                0.93859,                0.94785,                0.91903,                0.94888,                0.88237,                0.41674,                0.38826,                0.81539,               0.005116,               0.005116,               0.005116
                    150,                0.46519,                0.40897,                0.93424,                0.92862,                0.91363,                0.93976,                0.87498,                0.42676,                0.41785,                 0.8147,               0.005083,               0.005083,               0.005083
                    151,                0.45864,                0.40082,                0.92902,                 0.9245,                0.92871,                0.95657,                0.88868,                0.42187,                 0.3682,                0.81298,                0.00505,                0.00505,                0.00505
                    152,                 0.4481,                0.39269,                0.92944,                0.90177,                0.91854,                0.95367,                 0.8878,                0.41615,                  0.375,                0.80515,               0.005017,               0.005017,               0.005017
                    153,                0.46073,                0.39324,                0.93118,                0.90206,                 0.9314,                0.95473,                0.88035,                0.42075,                0.39509,                0.81313,               0.004984,               0.004984,               0.004984
                    154,                0.45309,                0.38874,                0.92829,                0.94031,                0.88504,                0.95449,                 0.8819,                0.42584,                0.39545,                0.80885,               0.004951,               0.004951,               0.004951
                    155,                0.45242,                0.38745,                0.92596,                0.90372,                0.92978,                0.96526,                0.88702,                0.42861,                0.38835,                0.80729,               0.004918,               0.004918,               0.004918
                    156,                0.44754,                0.38604,                0.93423,                 0.9098,                0.90671,                0.93985,                0.87728,                0.40805,                0.41444,                0.80335,               0.004885,               0.004885,               0.004885
                    157,                0.45126,                0.38068,                0.92908,                 0.9019,                0.90392,                0.93939,                0.87234,                0.42036,                0.41883,                0.80936,               0.004852,               0.004852,               0.004852
                    158,                 0.4634,                0.38436,                0.93233,                 0.9248,                 0.9073,                0.95115,                0.88036,                0.41349,                0.39801,                0.79778,               0.004819,               0.004819,               0.004819
                    159,                0.44079,                 0.3753,                0.92081,                0.92635,                0.93539,                 0.9618,                0.89691,                0.39349,                0.37429,                0.79479,               0.004786,               0.004786,               0.004786
